,Date,DOW_Close,SP500_Close,NASDAQ_Close,Total_Deaths
200,11/16/2020,29950.44,3626.91,11924.12988,7954
201,11/17/2020,29783.35,3609.53,11899.33984,11071
202,11/18/2020,29438.42,3567.79,11801.59961,11413
203,11/19/2020,29483.23,3581.87,11904.70996,11032
204,11/20/2020,29263.48,3557.54,11854.969729999999,11887
205,11/23/2020,29591.27,3577.59,11880.62988,8526
206,11/24/2020,30046.24,3635.41,12036.79004,12660
207,11/25/2020,29872.47,3629.65,12094.40039,12131
208,11/27/2020,29910.37,3638.35,12205.84961,11387
209,11/30/2020,29638.64,3621.63,12198.74023,8880
210,12/1/2020,29823.92,3662.45,12355.11035,12684
211,12/2/2020,29883.79,3669.01,12349.37012,12586
212,12/3/2020,29969.52,3666.72,12377.17969,12572
213,12/4/2020,30218.26,3699.12,12464.23047,12520
214,12/7/2020,30069.79,3691.96,12519.9502,8713
215,12/8/2020,30173.88,3702.25,12582.76953,12278
216,12/9/2020,30068.81,3672.82,12338.9502,12719
217,12/10/2020,29999.26,3668.1,12405.80957,12696
218,12/11/2020,30046.37,3663.46,12377.87012,13027
219,12/14/2020,29861.55,3647.49,12440.04004,9170
220,12/15/2020,30199.31,3694.62,12595.05957,13951
221,12/16/2020,30154.54,3701.17,12658.19043,13659
222,12/17/2020,30303.37,3722.48,12764.75,13448
223,12/18/2020,30179.05,3709.41,12755.63965,12787
224,12/21/2020,30216.45,3694.92,12742.51953,9643
225,12/22/2020,30015.51,3687.26,12807.91992,14313
226,12/23/2020,30129.83,3690.01,12771.11035,13806
227,12/24/2020,30199.87,3703.06,12804.73047,11629
228,12/28/2020,30403.97,3735.36,12899.41992,9755
229,12/29/2020,30335.67,3727.04,12850.219729999999,15164
230,12/30/2020,30409.56,3732.04,12870.0,15260
231,12/31/2020,30606.48,3756.07,12888.280270000001,13169
232,1/4/2021,30223.89,3700.65,12698.4502,10147
233,1/5/2021,30391.6,3726.86,12818.95996,15334
234,1/6/2021,30829.4,3748.14,12740.79004,15052
235,1/7/2021,31041.13,3803.79,13067.48047,14937
236,1/8/2021,31097.97,3824.68,13201.98047,15165
237,1/11/2021,31008.69,3799.61,13036.42969,10323
238,1/12/2021,31068.69,3801.19,13072.42969,17103
239,1/13/2021,31060.47,3809.84,13128.9502,16704
240,1/14/2021,30991.52,3795.54,13112.63965,15369
241,1/15/2021,30814.26,3768.25,12998.5,15110
242,1/19/2021,30930.52,3798.91,13197.17969,16582
243,1/20/2021,31188.38,3851.85,13457.25,17906
244,1/21/2021,31176.01,3853.07,13530.91016,16788
245,1/22/2021,30996.98,3841.47,13543.05957,16019
246,1/25/2021,30960.0,3855.36,13635.990230000001,10764
247,1/26/2021,30937.04,3849.62,13626.05957,17307
248,1/27/2021,30303.17,3750.77,13270.59961,16679
249,1/28/2021,30603.36,3787.38,13337.16016,17049
250,1/29/2021,29982.62,3714.24,13070.69043,14946
251,2/1/2021,30211.91,3773.86,13403.38965,10218
252,2/2/2021,30687.48,3826.31,13612.78027,14835
253,2/3/2021,30723.6,3830.17,13610.54004,15727
254,2/4/2021,31055.86,3871.74,13777.740230000001,12533
255,2/5/2021,31148.24,3886.83,13856.299809999999,16571
256,2/8/2021,31385.76,3915.59,13987.63965,8332
257,2/9/2021,31375.83,3911.23,14007.7002,15536
258,2/10/2021,31437.8,3909.88,13972.53027,13403
259,2/11/2021,31430.7,3916.38,14025.769530000001,13473
260,2/12/2021,31458.4,3934.83,14095.46973,12473
261,2/16/2021,31522.75,3932.59,14047.5,10916
262,2/17/2021,31613.02,3931.33,13965.490230000001,11338
263,2/18/2021,31493.34,3913.97,13865.36035,11370
264,2/19/2021,31494.32,3906.71,13874.45996,11048
265,2/22/2021,31521.69,3876.5,13533.049809999999,6949
266,2/23/2021,31537.35,3881.37,13465.2002,11180
267,2/24/2021,31961.86,3925.43,13597.96973,12002
268,2/25/2021,31402.01,3829.34,13119.42969,10165
269,2/26/2021,30932.37,3811.15,13192.34961,10250
