Date,Open,High,Low,Close,Adj Close,Volume,Change
1/14/2021,31085.67,31223.78,30982.24,30991.52,30991.52,427810000,94.15
1/15/2021,30926.77,30941.98,30612.67,30814.26,30814.26,433000000,112.51
1/19/2021,30887.42,31086.62,30865.03,30930.52,30930.52,386400000,-43.1
1/20/2021,31017.54,31235.98,30997.79,31188.38,31188.38,384980000,-170.84
1/21/2021,31198.01,31272.22,31120.92,31176.01,31176.01,418780000,22
1/22/2021,31141.56,31141.56,30908.47,30996.98,30996.98,436040000,144.58
1/25/2021,30989.85,30989.85,30564.06,30960,30960,472890000,29.85
1/26/2021,30968.55,31121.42,30921.71,30937.04,30937.04,373150000,31.51
1/27/2021,30893.78,30893.78,30206.91,30303.17,30303.17,566470000,590.61
1/28/2021,30377.19,30951.41,30377.19,30603.36,30603.36,465140000,-226.17
1/29/2021,30553.91,30553.91,29856.3,29982.62,29982.62,536320000,571.29
2/1/2021,30054.73,30335.91,30014.97,30211.91,30211.91,347060000,-157.18
2/2/2021,30276.88,30840.54,30276.88,30687.48,30687.48,333160000,-410.6
2/3/2021,30689.65,30793.41,30521.31,30723.6,30723.6,305590000,-33.95
2/4/2021,30737.78,31065.96,30737.78,31055.86,31055.86,338330000,-318.08
2/5/2021,31093.81,31252.18,31083.22,31148.24,31148.24,293550000,-54.43
2/8/2021,31191.2,31386.1,31191.2,31385.76,31385.76,322250000,-194.56
2/9/2021,31359.88,31439.47,31245.86,31375.83,31375.83,308210000,-15.95
2/10/2021,31428.02,31511.44,31221.32,31437.8,31437.8,326450000,-9.78
2/11/2021,31466.49,31543.82,31244.36,31430.7,31430.7,280320000,35.79
2/12/2021,31420.8,31475.31,31347.8,31458.4,31458.4,263090000,-37.6
2/16/2021,31472.08,31608.63,31443.48,31522.75,31522.75,329210000,-50.67
2/17/2021,31485.61,31643.7,31338.76,31613.02,31613.02,343510000,-127.41
2/18/2021,31558.6,31558.6,31285.32,31493.34,31493.34,325990000,65.26
2/19/2021,31504.13,31647.53,31469.34,31494.32,31494.32,353070000,9.81
2/22/2021,31381.12,31653.48,31286.57,31521.69,31521.69,387210000,-140.57
2/23/2021,31501.89,31653.38,31158.76,31537.35,31537.35,460410000,-35.46
2/24/2021,31499.75,32009.64,31421.29,31961.86,31961.86,410150000,-462.11
2/25/2021,31955.94,31984.77,31293.32,31402.01,31402.01,454110000,553.93
2/26/2021,31401.29,31450.89,30911.37,30932.37,30932.37,532250000,468.92
